French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
mettre,to put
aucun,no
eux,them
chaque,each
parlé,speak
devrait,should
bébé,baby
heures,hours
vont,will
aucune,any
place,square
parle,speak
attention,Warning
voici,here is
affaire,case
type,type
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
première,first
côté,side
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
droit,law
mari,husband
cause,cause
espère,hope
eau,water
attendez,Wait
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
